id,name,search_query,categories,address,city,country,rating,review_count,lat,lng,minutes_open_weekly,url,phone
ChIJR41zmJ3BeUgRvozwTmLWEF8,Bulwell barbers,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","12 Commercial Rd, Bulwell, Nottingham NG6 8HA, UK",,United Kingdom,4.8,142,53.001379099999994,-1.1972975,3780,https://www.tiktok.com/@bulwellbarbers?_t=8qxYxsvxD0r&_r=1,
ChIJAd8TO6jBeUgRfG6K-MDfYZ4,Craft and Cut,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","84 Main St, Bulwell, Nottingham NG6 8EW, UK",,United Kingdom,4.8,218,53.002381,-1.1959758999999999,3720,,0115 783 0122
ChIJGyf01CvAeUgRDniaN1Tb6kM,Dana's Barber Shop,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","16 Commercial Rd, Bulwell, Nottingham NG6 8HA, UK",,United Kingdom,4.5,183,53.001500899999996,-1.1974263,4140,,07752 291110
ChIJ_eWoen3BeUgR7h5NEegg3FM,AJ Barber,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","215 Hucknall Ln, Nottingham NG6 8AH, UK",,United Kingdom,5,258,53.011852999999995,-1.1905742,3810,,07787 191790
ChIJUc2aRYfBeUgRmnH0RJGKtLs,Danas Barber,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","50 Main St, Bulwell, Nottingham NG6 8EW, UK",,United Kingdom,4,4,53.0013789,-1.1963849,3990,,07752 291110
ChIJ7SDp4FnBeUgRXBojQgwPEAg,N&S Barbers,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","19 Highbury Rd, Nottingham NG6 9DD, UK",,United Kingdom,5,40,52.9911794,-1.1863739,4020,,07447 454202
ChIJD-PS2AzBeUgR7aUO2yQ05BE,Aram cuts,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","230 Highbury Rd, Nottingham NG6 9FE, UK",,United Kingdom,4.6,68,52.9965066,-1.1921568,3630,,07490 595647
ChIJsXELIpXBeUgRfQ8uqlJziqU,Rise Park Barber,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","5 Bestwood Park Dr W, Nottingham NG5 5EJ, UK",,United Kingdom,5,140,53.010435099999995,-1.1742972,3750,,07383 938597
ChIJE3EByi7AeUgRbRZxz4ehams,Geezers Hair Desgin,Barbers in bulwell,"barber_shop,hair_salon,hair_care,health,point_of_interest,service,establishment","291 Main St, Bulwell, Nottingham NG6 8ED, UK",,United Kingdom,4.4,68,53.003454999999995,-1.1955730000000002,2970,,0115 977 0132
ChIJ265c_ZLreUgRpcOu8cwuGLs,Blade Brothers,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","547 Aspley Ln, Nottingham NG8 5RX, UK",,United Kingdom,5,106,52.972796499999994,-1.2086704,3600,http://bladebrothers28.booksy.com/h/,07925 725528
