id,name,url,phone,search_query,categories,address,city,country,rating,review_count,lat,lng,minutes_open_weekly
ChIJ11E2f2BbeUgRbQuaesj_0k4,SOS Marketing,http://www.sosmarketing.uk/,0113 294 8871,marketing in leeds,"marketing_consultant,consultant,service,point_of_interest,establishment","The Leeming Building, Ludgate Hill, Leeds LS2 7HZ, UK",,United Kingdom,5,43,53.7975953,-1.5397467,1440
ChIJqW0RCYmHPgARSqETJb9I_Ak,E-Marketing Agency,https://www.e-marketingagency.co.uk/,07811 983866,marketing in leeds,"service,point_of_interest,establishment","Unit 5B, Morwick Hall, York Rd, Leeds LS15 4TA, UK",,United Kingdom,5,55,53.831388499999996,-1.4380005,3360
ChIJVU_94xFDeUgRqrskzsRUPk4,Fleek Marketing,https://fleek.marketing/,0113 493 1819,marketing in leeds,"marketing_consultant,consultant,service,point_of_interest,establishment","5 Carrwood Park, Selby Rd, Leeds LS15 4LG, UK",,United Kingdom,4.9,113,53.7900321,-1.4148949,6090
ChIJf4zMofxTeUgRCFRLziM3nQk,Bee Social Marketing,http://beesocialmarketing.co.uk/,0333 344 4424,marketing in leeds,"service,point_of_interest,establishment","Cubo, 3rd Floor, 6 Wellington Pl, Leeds LS1 4AP, UK",,United Kingdom,4.9,35,53.795058499999996,-1.5554652999999998,2400
ChIJ0SP8q-uCeUgRYFvQcpnuLgM,Swype® Creative Digital Agency,https://www.swypecreative.com/,0113 873 0623,marketing in leeds,"service,point_of_interest,establishment","7 Park Row, Leeds LS1 5HD, UK",,United Kingdom,5,33,53.7976568,-1.54691,2700
ChIJwSgZn7BceUgRfPGJtQXmKh0,Daniel Latto Digital Marketing Agency,https://daniellatto.co.uk/,07888 860132,marketing in leeds,"marketing_consultant,consultant,service,point_of_interest,establishment","Ste 59, 33 Great George St, Leeds LS1 3AJ, UK",,United Kingdom,4.9,41,53.800684600000004,-1.550617,3930
ChIJBVnLYhtceUgRjSQHIL3rqFU,Leeds Digital®,https://www.leedsdigital.com/?utm_source=googlelocal&utm_medium=listing&utm_campaign=googleplaceslisting,07833 622944,marketing in leeds,"service,point_of_interest,establishment","125 Albion St, Leeds LS2 8ES, UK",,United Kingdom,4.4,7,53.800655899999995,-1.5453766,5580
ChIJDzoaVBhbeUgRgwrCpKwneXM,Rise Digital Marketing,https://www.risedigitalmarketing.co.uk/,0113 292 6920,marketing in leeds,"service,point_of_interest,establishment","Suite 9, Madison Offices, Nursery Ln, Leeds LS17 7HW, UK",,United Kingdom,4.8,17,53.8523736,-1.5439098,2400
ChIJXZF08hFceUgRwTAXc9LfvrE,Bobble Digital,https://www.bobbledigital.com/,0113 468 3902,marketing in leeds,"service,point_of_interest,establishment","Ste 1.07, Department, 4 The Blvd, Leeds LS10 1PZ, UK",,United Kingdom,4.9,36,53.7904853,-1.5315667,2550
ChIJpdANl4_ie0gRz8nt0ra1csc,Bolser Digital Agency,https://bolser.co.uk/,0113 250 3335,marketing in leeds,"marketing_consultant,consultant,service,point_of_interest,establishment","Ground Floor, MARSHALL COURT, Marshall St, Holbeck, Leeds LS11 9YP, UK",,United Kingdom,5,30,53.791483,-1.5538619999999999,3000
