id,name,url,phone,search_query,categories,address,city,country,rating,review_count,lat,lng,minutes_open_weekly
ChIJNYE_frfBeUgRIt-RzzkLKCM,Arnold Garage Ltd,https://www.arnoldgarageltd.co.uk/,0115 926 9199,"mechanics, Arnold","car_repair,point_of_interest,service,establishment","Byron Ind Est, Arnold, Nottingham NG5 7ER, UK",,United Kingdom,4.5,231,53.002658,-1.1201273,2970
ChIJE5IwcuHAeUgRZ-A4mBX6FNs,Arnold Service Centre,http://www.arnoldservicecentre.co.uk/,0115 966 6189,"mechanics, Arnold","car_repair,point_of_interest,service,establishment","80 Nottingham Rd, Arnold, Nottingham NG5 6LF, UK",,United Kingdom,4.8,115,53.000728599999995,-1.1311224,2550
ChIJD4Njg83GeUgRZguTvVCLyE0,Arnold Lane service centre,https://www.arnoldlaneservice.com/,0115 956 5656,"mechanics, Arnold","chauffeur_service,auto_parts_store,car_repair,car_dealer,transportation_service,store,point_of_interest,service,establishment","129 Arnold Ln, Gedling, Nottingham NG4 4HF, UK",,United Kingdom,4.7,131,52.985820100000005,-1.0955108999999998,2700
ChIJ4x3VC9nAeUgRpZPOIrXjxeQ,L & S Autos,,0115 967 9999,"mechanics, Arnold","car_repair,point_of_interest,service,establishment","80 Rolleston Dr, Arnold, Nottingham NG5 7JN, UK",,United Kingdom,4.8,72,53.0021244,-1.1154784,2550
ChIJgSW9P9nAeUgRrexHdnHP6t4,Turners Cars,http://www.turnerscars.co.uk/,0115 926 6222,"mechanics, Arnold","car_repair,manufacturer,point_of_interest,service,establishment","Unit 3 Eagle Cl, Arnold, Nottingham NG5 7FJ, UK",,United Kingdom,4.8,33,53.0015326,-1.1187283,2550
ChIJ5cegSunAeUgR_-pFOg_4ngM,Redhill Service Centre Ltd,https://www.redhillservicecentre.co.uk/,0115 967 9595,"mechanics, Arnold","electronics_store,tire_shop,auto_parts_store,car_repair,store,point_of_interest,service,establishment","240 Mansfield Rd, Arnold, Nottingham NG5 8JY, UK",,United Kingdom,4.9,119,53.0120035,-1.1331934,2790
ChIJ294ZUunAeUgR4rsx3TUK_Po,Redhill Garage EM Ltd,https://redhillgarageltd.co.uk/,0115 784 5638,"mechanics, Arnold","electronics_store,tire_shop,auto_parts_store,car_repair,store,point_of_interest,service,establishment","262 Mansfield Rd, Redhill, Arnold, Nottingham NG5 8JY, UK",,United Kingdom,4.8,108,53.012847,-1.132193,3060
ChIJzeR0cv7reUgRQ45SzaZqGic,AR Automotive Services,https://www.ar-automotiveservices.co.uk/,0115 919 0095,"mechanics, Arnold","car_repair,point_of_interest,service,establishment","7A West St, Hucknall, Nottingham NG15 7BW, UK",,United Kingdom,5,9,53.0379729,-1.2063922,2400
ChIJySI6NTvAeUgRCvMntsMxNBg,Automotive Diagnostic Centre Ltd,http://www.autodc.co.uk/,0115 975 5200,"mechanics, Arnold","car_repair,point_of_interest,service,establishment","Unit 3, Hucknall Ln, Nottingham NG6 8AF, UK",,United Kingdom,3.9,83,53.013065,-1.188685,3150
ChIJkfX7c7PBeUgRFdW-D62zMJ8,VB Local Garage Auto Service,https://www.vblocalgarage.co.uk/,07471 086659,"mechanics, Arnold","car_repair,point_of_interest,service,establishment","92 Rolleston Dr, Arnold, Nottingham NG5 7JP, UK",,United Kingdom,5,27,53.0020567,-1.1149411,3060
